chromosome kbp_pos scaffold close_Wagner_SNPs
10 19556.605 CM022160.1 NA
10 19569.34 CM022160.1 NA
10 19578.783 CM022160.1 NA
10 19776.731 CM022160.1 NA
10 19841.038 CM022160.1 NA
10 20079.582 CM022160.1 NA
10 20109.54 CM022160.1 NA
10 20124.129 CM022160.1 NA
10 20128.54 CM022160.1 NA
10 20188.539 CM022160.1 NA
10 20192.605 CM022160.1 NA
10 20249.316 CM022160.1 NA
10 20407.207 CM022160.1 NA
11 898.591 CM022161.1 NA
11 2165.363 CM022161.1 NA
11 2439.834 CM022161.1 NA
11 2449.623 CM022161.1 NA
11 2519.117 CM022161.1 NA
11 5189.706 CM022161.1 NA
11 6125.086 CM022161.1 NA
11 8283.169 CM022161.1 NA
11 8315.603 CM022161.1 NA
11 9778.017 CM022161.1 NA
11 11791.153 CM022161.1 NA
11 11820.009 CM022161.1 NA
11 12590.257 CM022161.1 NA
11 12975.087 CM022161.1 NA
11 13123.839 CM022161.1 NA
11 13747.914 CM022161.1 NA
11 15172.303 CM022161.1 NA
11 15213.194 CM022161.1 NA
11 17433.802 CM022161.1 NA
11 18857.319 CM022161.1 NA
12 548.499 CM022162.1 NA
12 1398.432 CM022162.1 NA
12 2583.57 CM022162.1 NA
12 2664.201 CM022162.1 NA
12 2983.338 CM022162.1 NA
12 3462.095 CM022162.1 NA
12 4468.288 CM022162.1 NA
12 4478.088 CM022162.1 NA
12 4657.667 CM022162.1 NA
12 5585.14 CM022162.1 NA
12 8103.289 CM022162.1 NA
12 8616.287 CM022162.1 NA
12 9466.275 CM022162.1 NA
12 11459.588 CM022162.1 NA
12 11852.214 CM022162.1 NA
12 14561.522 CM022162.1 NA
12 14775.524 CM022162.1 NA
12 15042.416 CM022162.1 NA
12 15553.644 CM022162.1 NA
12 18156.273 CM022162.1 NA
12 18368.043 CM022162.1 NA
12 20727.039 CM022162.1 NA
12 20819.954 CM022162.1 NA
12 20933.939 CM022162.1 NA
13 115.747 CM022163.1 NA
13 3335.771 CM022163.1 NA
13 3763.965 CM022163.1 NA
13 3892.547 CM022163.1 NA
13 6627.905 CM022163.1 NA
13 8956.644 CM022163.1 NA
13 10770.42 CM022163.1 NA
13 14018.065 CM022163.1 NA
14 4358.829 CM022164.1 NA
14 8418.564 CM022164.1 NA
14 10941.166 CM022164.1 NA
14 12939.202 CM022164.1 NA
14 12980.351 CM022164.1 NA
15 3805.368 JAAMOC010000539.1 NA
15 6623.461 JAAMOC010000539.1 NA
15 8157.286 JAAMOC010000539.1 NA
15 8317.544 JAAMOC010000539.1 NA
15 8389.838 JAAMOC010000539.1 NA
15 8481.937 JAAMOC010000539.1 NA
17 4078.028 CM022166.1 NA
17 5643.602 CM022166.1 NA
17 6332.219 CM022166.1 NA
17 6655.966 CM022166.1 NA
17 9542.75 CM022166.1 NA
17 9884.666 CM022166.1 NA
18 7684.112 CM022167.1 NA
18 9726.975 CM022167.1 NA
18 10411.355 CM022167.1 NA
18 10429.838 CM022167.1 NA
18 10758.691 CM022167.1 NA
18 11730.802 CM022167.1 NA
19 1834.603 JAAMOC010000544.1 NA
19 1931.475 JAAMOC010000544.1 NA
19 1939.286 JAAMOC010000544.1 NA
19 5985.484 JAAMOC010000544.1 NA
1A 161.588 JAAMOC010000104.1 NA
1A 400.447 JAAMOC010000547.1 NA
1A 976.744 JAAMOC010000548.1 NA
1A 1461.373 JAAMOC010000548.1 NA
1A 1837.282 JAAMOC010000547.1 NA
1A 2135.92 JAAMOC010000547.1 NA
1A 2270.667 JAAMOC010000547.1 NA
1A 3111.211 JAAMOC010000548.1 NA
1A 4297.719 JAAMOC010000548.1 NA
1A 5597.202 JAAMOC010000547.1 NA
1A 6046.076 JAAMOC010000547.1 NA
1A 6410.355 JAAMOC010000547.1 NA
1A 10471.105 JAAMOC010000547.1 NA
1A 10597.7 JAAMOC010000547.1 NA
1A 12750.942 JAAMOC010000547.1 NA
1A 13410.623 JAAMOC010000547.1 NA
1A 13481.891 JAAMOC010000547.1 NA
1A 13889.221 JAAMOC010000547.1 NA
1A 14135.911 JAAMOC010000547.1 NA
1A 16100.237 JAAMOC010000547.1 NA
1A 17294.441 JAAMOC010000547.1 NA
1A 19137.135 JAAMOC010000547.1 NA
1A 20110.382 JAAMOC010000547.1 NA
1A 23334.482 JAAMOC010000547.1 NA
1A 25229.555 JAAMOC010000547.1 NA
1A 26313.294 JAAMOC010000547.1 NA
1A 26343.219 JAAMOC010000547.1 NA
1A 26462.182 JAAMOC010000547.1 NA
1A 28597.533 JAAMOC010000547.1 NA
1A 29054.268 JAAMOC010000547.1 NA
1A 29067.429 JAAMOC010000547.1 NA
1A 30339.691 JAAMOC010000547.1 NA
1A 30346.955 JAAMOC010000547.1 NA
1A 32297.648 JAAMOC010000547.1 NA
1A 32336.918 JAAMOC010000547.1 NA
1A 33194.515 JAAMOC010000547.1 NA
1A 34466.042 JAAMOC010000547.1 NA
1A 40430.559 JAAMOC010000547.1 NA
1A 42479.233 JAAMOC010000547.1 NA
1A 42982.24 JAAMOC010000547.1 NA
1A 48078.694 JAAMOC010000547.1 NA
1A 48370.076 JAAMOC010000547.1 NA
1A 49973.71 JAAMOC010000547.1 NA
1A 55832.478 JAAMOC010000547.1 NA
1A 59296.235 JAAMOC010000547.1 NA
1A 62060.42 JAAMOC010000547.1 NA
1A 62108.006 JAAMOC010000547.1 NA
1A 62177.962 JAAMOC010000547.1 NA
1A 64602.341 JAAMOC010000547.1 NA
1A 64887.823 JAAMOC010000547.1 NA
1A 65671.073 JAAMOC010000547.1 NA
1A 66567.298 JAAMOC010000547.1 NA
1A 66909.552 JAAMOC010000547.1 NA
1A 67085.186 JAAMOC010000547.1 NA
1A 67147.28 JAAMOC010000547.1 NA
1A 67179.532 JAAMOC010000547.1 NA
1A 67200.317 JAAMOC010000547.1 NA
1A 67202.875 JAAMOC010000547.1 NA
1A 67292.729 JAAMOC010000547.1 NA
1A 67451.986 JAAMOC010000547.1 NA
1A 67493.873 JAAMOC010000547.1 NA
1A 68099.678 JAAMOC010000547.1 NA
1A 68185.802 JAAMOC010000547.1 NA
1A 68609.13 JAAMOC010000547.1 NA
1A 68667.748 JAAMOC010000547.1 NA
1B 911.527 CM022175.1 NA
2 880.605 JAAMOC010000550.1 NA
2 3074.144 JAAMOC010000550.1 NA
2 3738.209 JAAMOC010000550.1 NA
2 4094.96 JAAMOC010000551.1 NA
2 6485.52 JAAMOC010000550.1 NA
2 6544.864 JAAMOC010000550.1 NA
2 7490.732 JAAMOC010000550.1 NA
2 8119.87 JAAMOC010000550.1 NA
2 8307.387 JAAMOC010000550.1 NA
2 11395.779 JAAMOC010000551.1 NA
2 13010.379 JAAMOC010000551.1 NA
2 15911.927 JAAMOC010000550.1 NA
2 15989.327 JAAMOC010000550.1 NA
2 16040.302 JAAMOC010000550.1 NA
2 16052.322 JAAMOC010000550.1 NA
2 17572.181 JAAMOC010000550.1 NA
2 18003.5 JAAMOC010000551.1 NA
2 18038.777 JAAMOC010000551.1 NA
2 18095.213 JAAMOC010000551.1 NA
2 19634.948 JAAMOC010000550.1 NA
2 21774.47 JAAMOC010000550.1 NA
2 23270.694 JAAMOC010000550.1 NA
2 24274.269 JAAMOC010000550.1 NA
2 24965.785 JAAMOC010000550.1 NA
2 30767.913 JAAMOC010000550.1 NA
2 31197.811 JAAMOC010000550.1 NA
2 34336.245 JAAMOC010000550.1 NA
2 41577.804 JAAMOC010000550.1 NA
2 41777.608 JAAMOC010000550.1 NA
2 41905.837 JAAMOC010000550.1 NA
2 41944.993 JAAMOC010000550.1 NA
2 43567.426 JAAMOC010000550.1 NA
2 45186.347 JAAMOC010000550.1 NA
2 45220.401 JAAMOC010000550.1 NA
2 51909.452 JAAMOC010000550.1 NA
2 54384.747 JAAMOC010000550.1 NA
2 54978.175 JAAMOC010000550.1 NA
2 61212.032 JAAMOC010000550.1 NA
2 66540.128 JAAMOC010000550.1 NA
2 71640.837 JAAMOC010000550.1 NA
2 72790.529 JAAMOC010000550.1 NA
2 73050.151 JAAMOC010000550.1 NA
2 77799.987 JAAMOC010000550.1 NA
2 78104.142 JAAMOC010000550.1 NA
2 82661.665 JAAMOC010000550.1 NA
2 83884.292 JAAMOC010000550.1 NA
2 86104.405 JAAMOC010000550.1 NA
2 97361.144 JAAMOC010000550.1 NA
2 101286.633 JAAMOC010000550.1 NA
2 102134.335 JAAMOC010000550.1 NA
2 103088.915 JAAMOC010000550.1 NA
2 111770.603 JAAMOC010000550.1 NA
2 112098.301 JAAMOC010000550.1 NA
2 117623.689 JAAMOC010000550.1 NA
2 121890.383 JAAMOC010000550.1 NA
2 122667.037 JAAMOC010000550.1 NA
2 125817.742 JAAMOC010000550.1 NA
2 126002.925 JAAMOC010000550.1 NA
2 127272.161 JAAMOC010000550.1 NA
2 130025.35 JAAMOC010000550.1 NA
20 183.389 JAAMOC010000554.1 NA
20 235.111 JAAMOC010000554.1 NA
20 681.728 JAAMOC010000553.1 NA
20 1113.121 JAAMOC010000553.1 NA
20 1443.821 JAAMOC010000553.1 NA
20 9584.23 JAAMOC010000553.1 NA
20 11003.714 JAAMOC010000553.1 NA
20 13901.038 JAAMOC010000553.1 NA
20 13964.456 JAAMOC010000553.1 NA
20 14089.919 JAAMOC010000553.1 NA
21 379.718 JAAMOC010000055.1 NA
21 683.29 CM022168.1 NA
21 2404.162 JAAMOC010000055.1 NA
21 2531.272 JAAMOC010000055.1 NA
22 1650.471 CM022169.1 NA
23 431.26 JAAMOC010000558.1 NA
24 1020.485 CM022170.1 NA
24 1144.233 CM022170.1 NA
24 1192.457 CM022170.1 NA
24 1242.566 CM022170.1 NA
24 3406.247 CM022170.1 NA
24 3653.651 CM022170.1 NA
24 4953.3 CM022170.1 NA
24 5030.832 CM022170.1 NA
24 5255.012 CM022170.1 NA
24 5298.776 CM022170.1 NA
24 5386.092 CM022170.1 NA
24 5434.484 CM022170.1 NA
24 5464.572 CM022170.1 NA
24 5522.811 CM022170.1 NA
24 5645.007 CM022170.1 NA
24 6091.125 CM022170.1 NA
24 6104.547 CM022170.1 NA
24 6120.706 CM022170.1 NA
24 6139.797 CM022170.1 NA
24 6170.727 CM022170.1 NA
25 146.891 CM022171.1 NA
26 152.482 JAAMOC010000092.1 NA
26 166.266 JAAMOC010000092.1 NA
26 4923.52 CM022172.1 NA
26 4977.564 CM022172.1 NA
27 548.002 JAAMOC010000563.1 NA
27 639.83 JAAMOC010000563.1 NA
27 2298.429 JAAMOC010000562.1 NA
27 2333.242 JAAMOC010000562.1 NA
27 2384.531 JAAMOC010000562.1 NA
27 2577.86 JAAMOC010000562.1 NA
27 3587.91 JAAMOC010000562.1 NA
27 3875.53 JAAMOC010000562.1 NA
27 3964.643 JAAMOC010000562.1 NA
27 3975.552 JAAMOC010000562.1 NA
28 170.365 CM022173.1 NA
3 3.665 JAAMOC010000568.1 0.341691,0.820706,1.069792,1.347592,2.729862,2.837769,3.153625,4.285709,4.28572,4.425276,5.358485,6.233192,7.267446,7.440736,7.614907,7.627322,8.378728,8.651913,8.651937,2.67978,5.675146,7.454648,7.454654,7.959926,8.3787,8.554924,1.251142,4.705062,7.270207
3 45.953 JAAMOC010000008.1 41.481397,42.268621,42.508462,42.508469,43.464952,44.685122,45.241297,45.671249,46.201302,46.418378,46.427897,47.192532,47.362058,47.800602,47.879507,47.949212,48.052097,48.075164,48.183751,48.30678,48.347488,48.771015,48.967837,48.967866,49.122247,42.296915,43.611631,47.455586,48.144072,41.721732,47.96685
3 70.647 JAAMOC010000016.1 66.806799,66.984086,70.079897,70.112825,70.166409,71.014168,71.014177,71.37128,71.659841,72.53516,74.496502,74.554159,74.803999,70.112878,72.408539,72.85468,73.339431,73.959962,74.751248,67.827319,71.272993,70.592002
3 566.829 JAAMOC010000568.1 NA
3 2235.56 JAAMOC010000567.1 NA
3 2812.332 JAAMOC010000568.1 NA
3 3503.135 JAAMOC010000568.1 NA
3 4488.111 JAAMOC010000567.1 NA
3 4667.099 JAAMOC010000568.1 NA
3 7060.398 JAAMOC010000568.1 NA
3 7156.729 JAAMOC010000568.1 NA
3 7989.542 JAAMOC010000565.1 NA
3 10220.937 JAAMOC010000567.1 NA
3 11389.309 JAAMOC010000568.1 NA
3 12149.175 JAAMOC010000567.1 NA
3 12597.495 JAAMOC010000568.1 NA
3 15585.735 JAAMOC010000567.1 NA
3 20029.336 JAAMOC010000565.1 NA
3 20298.402 JAAMOC010000565.1 NA
3 22568.855 JAAMOC010000565.1 NA
3 22883.751 JAAMOC010000565.1 NA
3 24354.298 JAAMOC010000565.1 NA
3 29924.718 JAAMOC010000565.1 NA
3 32534.524 JAAMOC010000565.1 NA
3 35713.404 JAAMOC010000565.1 NA
3 35895.502 JAAMOC010000565.1 NA
3 38916.844 JAAMOC010000565.1 NA
3 52746.289 JAAMOC010000565.1 NA
3 56398.813 JAAMOC010000565.1 NA
3 59319.116 JAAMOC010000565.1 NA
3 60097.315 JAAMOC010000565.1 NA
3 60471.91 JAAMOC010000565.1 NA
3 68127.801 JAAMOC010000565.1 NA
3 71504.206 JAAMOC010000565.1 NA
3 88834.506 JAAMOC010000565.1 NA
4 301.303 JAAMOC010000021.1 NA
4 1102.448 JAAMOC010000569.1 NA
4 1422.095 JAAMOC010000570.1 NA
4 3137.794 JAAMOC010000569.1 NA
4 3293.376 JAAMOC010000569.1 NA
4 3402.882 JAAMOC010000570.1 NA
4 4321.227 JAAMOC010000569.1 NA
4 6039.464 JAAMOC010000569.1 NA
4 7832.632 JAAMOC010000569.1 NA
4 11788.267 JAAMOC010000569.1 NA
4 23099.159 JAAMOC010000569.1 NA
4 23105.649 JAAMOC010000569.1 NA
4 23124.871 JAAMOC010000569.1 NA
4 25070.012 JAAMOC010000569.1 NA
4 25106.616 JAAMOC010000569.1 NA
4 25755.732 JAAMOC010000569.1 NA
4 26171.903 JAAMOC010000569.1 NA
4 27026.983 JAAMOC010000569.1 NA
4 29509.991 JAAMOC010000569.1 NA
4 35342.795 JAAMOC010000569.1 NA
4 44337.425 JAAMOC010000569.1 NA
4 45345.601 JAAMOC010000569.1 NA
4 45432.203 JAAMOC010000569.1 NA
4 54025.794 JAAMOC010000569.1 NA
4 55472.127 JAAMOC010000569.1 NA
4 56523.601 JAAMOC010000569.1 NA
4 59854.606 JAAMOC010000569.1 NA
4 62088.852 JAAMOC010000569.1 NA
4 63854.166 JAAMOC010000569.1 NA
4 64449.333 JAAMOC010000569.1 NA
4A 587.077 JAAMOC010000573.1 NA
4A 720.622 JAAMOC010000573.1 NA
4A 768.441 JAAMOC010000573.1 NA
4A 1053.64 JAAMOC010000573.1 NA
4A 1096.475 JAAMOC010000573.1 NA
4A 1165.989 JAAMOC010000572.1 NA
4A 1475.826 JAAMOC010000574.1 NA
4A 1486.174 JAAMOC010000574.1 NA
4A 1511.243 JAAMOC010000574.1 NA
4A 1524.771 JAAMOC010000574.1 NA
4A 2019.1 JAAMOC010000572.1 NA
4A 2155.017 JAAMOC010000572.1 NA
4A 2382.957 JAAMOC010000572.1 NA
4A 2610.355 JAAMOC010000571.1 NA
4A 2700.213 JAAMOC010000571.1 NA
4A 2800.01 JAAMOC010000572.1 NA
4A 2979.486 JAAMOC010000573.1 NA
4A 3693.371 JAAMOC010000572.1 NA
5 660.118 CM022158.1 NA
5 7886.024 CM022158.1 NA
5 8925.669 CM022158.1 NA
5 8991.341 CM022158.1 NA
5 9002.671 CM022158.1 NA
5 9058.021 CM022158.1 NA
5 9071.822 CM022158.1 NA
5 9130.209 CM022158.1 NA
5 9137.017 CM022158.1 NA
5 9143.276 CM022158.1 NA
5 9146.656 CM022158.1 NA
5 9154.5 CM022158.1 NA
5 9921.19 CM022158.1 NA
5 11487.877 CM022158.1 NA
5 11508.13 CM022158.1 NA
5 11522.561 CM022158.1 NA
5 11728.31 CM022158.1 NA
5 11818.167 CM022158.1 NA
5 13323.269 CM022158.1 NA
5 14334.313 CM022158.1 NA
5 15115.321 CM022158.1 NA
5 15435.284 CM022158.1 NA
5 15993.056 CM022158.1 NA
5 16075.791 CM022158.1 NA
5 16214.524 CM022158.1 NA
5 16493.09 CM022158.1 NA
5 18609.64 CM022158.1 NA
5 20471.945 CM022158.1 NA
5 20550.371 CM022158.1 NA
5 20866.339 CM022158.1 NA
5 22392.284 CM022158.1 NA
5 22484.491 CM022158.1 NA
5 22511.309 CM022158.1 NA
5 22580.148 CM022158.1 NA
5 23423.669 CM022158.1 NA
5 24437.78 CM022158.1 NA
5 24852.322 CM022158.1 NA
5 25774.035 CM022158.1 NA
5 26581.593 CM022158.1 NA
5 32023.589 CM022158.1 NA
5 37826.625 CM022158.1 NA
5 38725.613 CM022158.1 NA
5 44171.203 CM022158.1 NA
5 46993.18 CM022158.1 NA
5 47083.161 CM022158.1 NA
5 53902.76 CM022158.1 NA
5 55393.282 CM022158.1 NA
5 55463.976 CM022158.1 NA
5 57155.749 CM022158.1 NA
5 62326.371 CM022158.1 NA
6 225.344 JAAMOC010000577.1 NA
6 884.286 JAAMOC010000577.1 NA
6 2924.52 JAAMOC010000577.1 NA
6 6763.434 JAAMOC010000578.1 NA
6 7270.182 JAAMOC010000578.1 NA
7 360.365 JAAMOC010000580.1 NA
7 366.031 JAAMOC010000580.1 NA
7 472.581 JAAMOC010000580.1 NA
7 1304.511 JAAMOC010000580.1 NA
7 2211.736 JAAMOC010000580.1 NA
7 3408.675 JAAMOC010000580.1 NA
7 3453.418 JAAMOC010000579.1 NA
7 3569.748 JAAMOC010000579.1 NA
7 4257.501 JAAMOC010000579.1 NA
7 16250.044 JAAMOC010000580.1 NA
7 18366.934 JAAMOC010000580.1 NA
7 20052.469 JAAMOC010000580.1 NA
7 22982.241 JAAMOC010000580.1 NA
7 25725.399 JAAMOC010000580.1 NA
7 25971.908 JAAMOC010000580.1 NA
7 26957.911 JAAMOC010000580.1 NA
7 30495.624 JAAMOC010000580.1 NA
7 33864.394 JAAMOC010000580.1 NA
7 33989.772 JAAMOC010000580.1 NA
7 34051.523 JAAMOC010000580.1 NA
8 2304.42 JAAMOC010000581.1 NA
8 2616.955 JAAMOC010000582.1 NA
8 2806.357 JAAMOC010000582.1 NA
8 3918.701 JAAMOC010000581.1 NA
8 5051.094 JAAMOC010000582.1 NA
8 5590.411 JAAMOC010000582.1 NA
8 9171.688 JAAMOC010000582.1 NA
8 9767.795 JAAMOC010000582.1 NA
8 12679.478 JAAMOC010000582.1 NA
8 12856.505 JAAMOC010000582.1 NA
8 14268.391 JAAMOC010000582.1 NA
8 15094.279 JAAMOC010000582.1 NA
8 16457.074 JAAMOC010000582.1 NA
8 24176.464 JAAMOC010000582.1 NA
9 731.603 CM022159.1 NA
9 2038.77 CM022159.1 NA
9 12539.472 CM022159.1 NA
9 12968.64 CM022159.1 NA
9 14121.447 CM022159.1 NA
9 17288.184 CM022159.1 NA
9 23503.079 CM022159.1 NA
CHR_UNK 0.245 JAAMOC010000356.1 NA
CHR_UNK 1.115 JAAMOC010000213.1 NA
CHR_UNK 4.82 JAAMOC010000700.1 NA
CHR_UNK 6.408 JAAMOC010000413.1 NA
CHR_UNK 30.336 JAAMOC010000503.1 NA
CHR_UNK 32.588 JAAMOC010000332.1 NA
CHR_UNK 38.074 JAAMOC010000225.1 NA
CHR_UNK 40.486 JAAMOC010000225.1 NA
CHR_UNK 80.357 JAAMOC010000225.1 NA
LGE22 3.981 JAAMOC010000588.1 0.622476,0.7378
Z 61.639 JAAMOC010000100.1 56.842835,58.278656,58.306146,58.35983,58.359831,58.378116,58.378129,58.378331,58.378363,57.941386,58.1069,58.306056,58.306128,58.38016
Z 229.711 CM022174.1 NA
Z 242.668 JAAMOC010000100.1 NA
Z 1126.264 CM022174.1 NA
Z 1636.163 CM022174.1 NA
Z 2479.927 CM022174.1 NA
Z 2559.538 CM022174.1 NA
Z 3047.882 CM022174.1 NA
Z 4626.93 CM022174.1 NA
Z 5049.233 CM022174.1 NA
Z 5158.155 CM022174.1 NA
Z 5616.433 CM022174.1 NA
Z 6078.451 CM022174.1 NA
Z 6923.167 CM022174.1 NA
Z 7277.78 CM022174.1 NA
Z 7499.723 CM022174.1 NA
Z 7952.817 CM022174.1 NA
Z 8180.465 CM022174.1 NA
Z 9026.581 CM022174.1 NA
Z 11938.513 CM022174.1 NA
Z 12088.147 CM022174.1 NA
Z 12382.243 CM022174.1 NA
Z 12533.625 CM022174.1 NA
Z 13634.225 CM022174.1 NA
Z 14244.53 CM022174.1 NA
Z 14658.884 CM022174.1 NA
Z 15113.305 CM022174.1 NA
Z 15627.54 CM022174.1 NA
Z 16958.769 CM022174.1 NA
Z 18382.805 CM022174.1 NA
Z 18872.81 CM022174.1 NA
Z 19339.831 CM022174.1 NA
Z 19456.306 CM022174.1 NA
Z 20062.247 CM022174.1 NA
Z 20280.31 CM022174.1 NA
Z 20952.199 CM022174.1 NA
Z 21226.138 CM022174.1 NA
Z 21872.814 CM022174.1 NA
Z 22995.808 CM022174.1 NA
Z 24740.524 CM022174.1 NA
Z 25255.046 CM022174.1 NA
Z 26027.709 CM022174.1 NA
Z 26730.719 CM022174.1 NA
Z 27936.264 CM022174.1 NA
Z 29439.275 CM022174.1 NA
Z 29671.922 CM022174.1 NA
Z 30058.601 CM022174.1 NA
Z 31598.588 CM022174.1 NA
Z 32320.285 CM022174.1 NA
Z 32408.026 CM022174.1 NA
Z 32713.042 CM022174.1 NA
Z 32733.099 CM022174.1 NA
Z 32751.256 CM022174.1 NA
Z 33062.411 CM022174.1 NA
Z 34095.26 CM022174.1 NA
Z 34172.229 CM022174.1 NA
Z 35013.7 CM022174.1 NA
Z 36051.216 CM022174.1 NA
Z 36356.301 CM022174.1 NA
Z 36556.392 CM022174.1 NA
Z 36643.19 CM022174.1 NA
Z 36871.535 CM022174.1 NA
Z 36912.358 CM022174.1 NA
Z 36925.507 CM022174.1 NA
Z 36932.679 CM022174.1 NA
Z 36968.345 CM022174.1 NA
Z 36990.135 CM022174.1 NA
Z 36995.7 CM022174.1 NA
Z 37042.321 CM022174.1 NA
Z 37047.351 CM022174.1 NA
Z 37048.808 CM022174.1 NA
Z 37077.046 CM022174.1 NA
Z 37177.087 CM022174.1 NA
Z 37188.104 CM022174.1 NA
Z 37206.266 CM022174.1 NA
Z 37254.882 CM022174.1 NA
Z 37435.715 CM022174.1 NA
Z 37487.369 CM022174.1 NA
Z 37604.386 CM022174.1 NA
Z 37632.781 CM022174.1 NA
Z 37740.564 CM022174.1 NA
Z 37756.946 CM022174.1 NA
Z 37814.782 CM022174.1 NA
Z 37821.638 CM022174.1 NA
Z 37900.561 CM022174.1 NA
Z 37912.094 CM022174.1 NA
Z 37961.251 CM022174.1 NA
Z 37974.21 CM022174.1 NA
Z 38137.535 CM022174.1 NA
Z 38152.183 CM022174.1 NA
Z 38227.088 CM022174.1 NA
Z 38279.867 CM022174.1 NA
Z 38291.302 CM022174.1 NA
Z 38311.258 CM022174.1 NA
Z 38327.965 CM022174.1 NA
Z 38854.722 CM022174.1 NA
Z 42669.716 CM022174.1 NA
Z 43824.988 CM022174.1 NA
Z 43976.331 CM022174.1 NA
Z 45088.124 CM022174.1 NA
Z 45102.421 CM022174.1 NA
Z 45168.41 CM022174.1 NA
Z 45175.688 CM022174.1 NA
Z 45364.618 CM022174.1 NA
Z 45528.579 CM022174.1 NA
Z 45702.619 CM022174.1 NA
Z 46828.62 CM022174.1 NA
Z 46854.428 CM022174.1 NA
Z 47533.941 CM022174.1 NA
Z 48509.731 CM022174.1 NA
Z 48802.492 CM022174.1 NA
Z 48976.018 CM022174.1 NA
Z 50778.681 CM022174.1 NA
Z 51871.927 CM022174.1 NA
Z 52607.846 CM022174.1 NA
Z 52690.929 CM022174.1 NA
Z 52908.33 CM022174.1 NA
Z 53258.33 CM022174.1 NA
Z 53653.657 CM022174.1 NA
Z 53776.403 CM022174.1 NA
Z 54530.532 CM022174.1 NA
Z 54838.573 CM022174.1 NA
Z 58069.206 CM022174.1 NA
Z 58152.604 CM022174.1 NA
Z 60414.667 CM022174.1 NA
Z 60838.383 CM022174.1 NA
Z 60883.193 CM022174.1 NA
Z 62192.702 CM022174.1 NA
Z 62697.882 CM022174.1 NA
Z 64175.339 CM022174.1 NA
Z 64331.34 CM022174.1 NA
Z 64939.696 CM022174.1 NA
Z 65294.746 CM022174.1 NA
Z 65539.484 CM022174.1 NA
Z 65667.903 CM022174.1 NA
Z 66037.52 CM022174.1 NA
Z 66292.309 CM022174.1 NA
Z 67621.732 CM022174.1 NA
Z 68426.987 CM022174.1 NA
Z 68899.212 CM022174.1 NA
Z 69510.617 CM022174.1 NA
Z 69757.251 CM022174.1 NA
Z 69812.869 CM022174.1 NA
Z 70000.949 CM022174.1 NA
Z 70037.272 CM022174.1 NA
Z 70801.835 CM022174.1 NA
Z 70997.824 CM022174.1 NA
Z 71231.597 CM022174.1 NA
Z 71237.109 CM022174.1 NA
Z 71650.395 CM022174.1 NA
Z 71751.263 CM022174.1 NA
Z 72917.551 CM022174.1 NA
